ITEM: TIMESTEP
25000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
109 -40.1475 
110 -165.169 
111 -164.348 
112 80.8064 
113 -44.2146 
114 164.438 
115 -78.5633 
116 45.0409 
ITEM: TIMESTEP
25600
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 148.798 
2 -94.0638 
3 23.2179 
4 78.0739 
5 -40.5988 
6 -155.252 
7 87.3215 
8 -27.332 
9 -154.006 
10 -159.437 
11 85.9099 
12 -40.7638 
13 66.0295 
14 -56.8936 
15 -170.173 
16 -155.621 
17 -36.9961 
18 78.8965 
19 146.684 
20 26.5159 
21 -99.2763 
22 140.555 
23 28.3868 
24 -91.7814 
25 -31.9932 
26 89.7272 
27 144.72 
28 10.7439 
29 -107.82 
30 121.258 
31 2.69395 
32 -104.766 
33 -120.612 
34 120.824 
35 13.3635 
36 -130.879 
37 116.262 
38 -3.86376 
39 -85.2998 
40 150.592 
41 37.3025 
42 -5.00649 
43 2.40869 
44 -111.577 
45 121.301 
46 113.781 
47 -0.205305 
48 -127.327 
49 -123.898 
50 122.115 
51 -177.606 
52 54.4942 
53 -58.4403 
54 154.993 
55 -90.9361 
56 36.0623 
57 91.7283 
58 -25.5834 
59 -144.682 
60 88.5555 
61 -30.5427 
62 -154.133 
63 -152.352 
64 88.5497 
65 -35.0403 
66 -86.3902 
67 156.348 
68 34.5547 
69 -120.156 
70 11.2375 
71 124.019 
72 173.78 
73 47.6496 
74 -71.7063 
75 -151.131 
76 91.9608 
77 -30.4813 
78 -148.057 
79 89.5013 
80 -31.1481 
81 -22.261 
82 -144.703 
83 94.6476 
84 -95.8061 
85 27.9185 
86 145.398 
87 108.766 
88 -134.917 
89 -15.4364 
90 160.616 
91 32.9918 
92 -73.9933 
93 151.573 
94 44.5879 
95 -80.8031 
96 -91.4433 
97 161.572 
98 36.1807 
99 -43.2528 
100 -161.672 
101 75.692 
102 164.462 
103 45.8094 
104 -77.4971 
105 87.7129 
106 -26.7608 
107 -147.409 
108 90.4659 
109 -30.182 
110 -155.061 
111 -144.656 
112 94.6967 
113 -30.1819 
114 164.194 
115 -77.9598 
116 47.7935 
ITEM: TIMESTEP
25700
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 158.453 
2 -86.8871 
3 37.198 
4 50.6527 
5 -73.3315 
6 170.421 
7 53.6051 
8 -62.6424 
9 177.589 
10 171.61 
11 55.3621 
12 -64.4062 
13 82.4076 
14 -32.2559 
15 -151.55 
16 -151.881 
17 -31.1627 
18 88.6098 
19 124.591 
20 9.20739 
21 -123.399 
22 121.217 
23 -3.28672 
24 -118.67 
25 -36.0989 
26 78.6871 
27 142.202 
28 15.6386 
29 -108.345 
30 137.474 
31 13.4906 
32 -95.9619 
33 -110.685 
34 125.331 
35 15.8787 
36 -112.737 
37 125.894 
38 11.0224 
39 -101.352 
40 139.866 
41 11.5803 
42 57.0861 
43 64.0056 
44 -58.9811 
45 179.489 
46 -175.612 
47 61.4016 
48 -60.1286 
49 -58.3969 
50 178.616 
51 -170.387 
52 63.9675 
53 -52.6134 
54 159 
55 -85.2086 
56 35.7042 
57 114.238 
58 -5.70333 
59 -119.456 
60 112.321 
61 -1.43176 
62 -127.738 
63 -127.634 
64 118.613 
65 -7.69338 
66 -87.8717 
67 153.707 
68 33.9508 
69 -126.229 
70 0.674248 
71 111.329 
72 144.263 
73 29.6809 
74 -97.5484 
75 -153.262 
76 87.6382 
77 -30.2038 
78 -152.331 
79 89.8271 
80 -33.2311 
81 -32.1883 
82 -150.03 
83 86.9115 
84 -94.8674 
85 29.5385 
86 145.432 
87 137.234 
88 -101.412 
89 12.7634 
90 -170.994 
91 68.7331 
92 -46.8993 
93 -164.169 
94 80.1983 
95 -43.8966 
96 -58.3694 
97 -174.002 
98 61.9033 
99 141.482 
100 12.3353 
101 -98.6874 
102 158.902 
103 39.1392 
104 -86.9583 
105 73.5862 
106 -46.2867 
107 -161.479 
108 75.3335 
109 -39.8584 
110 -164.794 
111 -165.643 
112 79.1651 
113 -45.7701 
114 144.234 
115 -92.2789 
116 20.5868 
ITEM: TIMESTEP
25800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 166.581 
2 -80.362 
3 35.2414 
4 65.9804 
5 -58.4248 
6 -173.496 
7 62.0333 
8 -53.0374 
9 -173.562 
10 179.538 
11 64.4674 
12 -56.0567 
13 83.9253 
14 -34.381 
15 -157.758 
16 -140.276 
17 -21.8139 
18 105.021 
19 79.1827 
20 -33.4521 
21 -161.686 
22 85.6795 
23 -39.7639 
24 -152.399 
25 -55.2841 
26 59.1323 
27 178.979 
28 58.7289 
29 -67.0871 
30 166.492 
31 40.6755 
32 -73.2582 
33 -56.7613 
34 177.423 
35 63.489 
36 -86.0353 
37 155.56 
38 33.1877 
39 -125.059 
40 116.149 
41 -2.57435 
42 73.2902 
43 79.3325 
44 -30.9747 
45 -162.792 
46 -160.652 
47 89.0409 
48 -42.7764 
49 -44.5853 
50 -154.893 
51 -157.865 
52 77.7044 
53 -39.3557 
54 179.773 
55 -61.9497 
56 51.2499 
57 126.963 
58 5.97221 
59 -106.6 
60 128.776 
61 16.2043 
62 -110.233 
63 -113.805 
64 133.623 
65 7.18557 
66 -87.0759 
67 147.86 
68 28.4966 
69 -137.67 
70 -18.5113 
71 101.657 
72 103.221 
73 -18.9509 
74 -136.834 
75 -165.131 
76 73.8131 
77 -45.4967 
78 -161.177 
79 79.5135 
80 -40.1209 
81 -47.0428 
82 -166.353 
83 74.013 
84 -59.1156 
85 67.2385 
86 -173.437 
87 -173.409 
88 -52.7328 
89 65.3619 
90 -168.287 
91 69.1435 
92 -52.1302 
93 -159.511 
94 79.2152 
95 -36.9413 
96 -50.4981 
97 -171.772 
98 72.0717 
99 33.2669 
100 -96.9277 
101 152.661 
102 172.873 
103 54.251 
104 -69.779 
105 66.8364 
106 -62.2917 
107 -172.905 
108 60.5501 
109 -50.0634 
110 -170.322 
111 179.042 
112 68.4287 
113 -51.8296 
114 105.394 
115 -125.216 
116 -13.3125 
ITEM: TIMESTEP
25900
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 -167.289 
2 -43.4803 
3 71.978 
4 66.4703 
5 -49.7643 
6 -168.893 
7 70.5885 
8 -48.5402 
9 -173.177 
10 -170.256 
11 70.6152 
12 -54.0214 
13 74.8548 
14 -52.7808 
15 -164.134 
16 -120.48 
17 -0.343029 
18 112.064 
19 94.3295 
20 -25.8261 
21 -137.199 
22 102.646 
23 -27.2427 
24 -147.398 
25 -45.1185 
26 70.9941 
27 166.681 
28 45.7763 
29 -65.2835 
30 168.616 
31 57.5565 
32 -70.4794 
33 -70.6759 
34 178.264 
35 50.2283 
36 -116.435 
37 119.42 
38 -2.06854 
39 -138.185 
40 103.91 
41 -20.3874 
42 64.6876 
43 63.1437 
44 -49.3214 
45 -171.125 
46 175.936 
47 63.4711 
48 -58.3324 
49 -61.0437 
50 -173.509 
51 175.303 
52 50.9088 
53 -65.2012 
54 -170.721 
55 -49.9394 
56 69.3111 
57 127.633 
58 3.77381 
59 -109.092 
60 118.273 
61 5.4075 
62 -117.868 
63 -116.159 
64 130.975 
65 7.69968 
66 -71.6104 
67 171.389 
68 51.3458 
69 -132.085 
70 -11.6068 
71 107.587 
72 82.1602 
73 -49.6359 
74 -163.9 
75 -169.761 
76 74.9379 
77 -53.4292 
78 -161.433 
79 70.2001 
80 -46.1314 
81 -42.1818 
82 -170.549 
83 73.1196 
84 37.7591 
85 151.907 
86 -91.2792 
87 -162.166 
88 -46.2028 
89 79.7216 
90 155.43 
91 40.4116 
92 -81.3614 
93 158.805 
94 37.0321 
95 -86.1768 
96 -77.6214 
97 160.606 
98 37.3968 
99 51.3972 
100 -65.2967 
101 166.736 
102 172.896 
103 58.614 
104 -70.8023 
105 68.7655 
106 -61.618 
107 -174.145 
108 58.497 
109 -54.0299 
110 -171.12 
111 -179.13 
112 68.3436 
113 -48.746 
114 165.734 
115 -68.3287 
116 46.2963 
ITEM: TIMESTEP
26000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 161.136 
2 -79.2747 
3 48.0148 
4 87.1508 
5 -44.1388 
6 -160.073 
7 76.6411 
8 -39.2935 
9 -152.069 
10 -167.874 
11 76.1919 
12 -36.584 
13 87.6971 
14 -45.6665 
15 -154.301 
16 -161.659 
17 -36.296 
18 83.7749 
19 132.837 
20 15.7077 
21 -97.9041 
22 144.967 
23 19.0334 
24 -98.0957 
25 -40.1763 
26 78.3148 
27 140.575 
28 26.125 
29 -103.36 
30 145.331 
31 15.8456 
32 -100.219 
33 -86.4565 
34 144.058 
35 27.9937 
36 -179.765 
37 54.1292 
38 -66.1106 
39 -149.685 
40 91.1258 
41 -28.2263 
42 57.3765 
43 61.3578 
44 -64.1491 
45 -175.517 
46 171.444 
47 45.9372 
48 -65.4306 
49 -65.7489 
50 168.744 
51 131.532 
52 3.17381 
53 -110.767 
54 -164.69 
55 -51.2143 
56 73.3422 
57 121.04 
58 -0.849599 
59 -117.819 
60 118.794 
61 1.82402 
62 -119.317 
63 -124.425 
64 118.606 
65 -2.53514 
66 -91.767 
67 153.538 
68 28.053 
69 -93.8981 
70 22.1552 
71 143.389 
72 122.558 
73 8.92731 
74 -117.907 
75 169.844 
76 52.656 
77 -64.4774 
78 176.096 
79 58.9628 
80 -66.7161 
81 -63.9424 
82 178.924 
83 53.2453 
84 82.6511 
85 -157.807 
86 -41.7687 
87 156.077 
88 -88.0916 
89 29.1517 
90 120.307 
91 -3.29153 
92 -116.766 
93 117.608 
94 4.13369 
95 -118.793 
96 -119.773 
97 126.753 
98 3.8256 
99 57.0417 
100 -65.9812 
101 172.41 
102 -179.188 
103 61.1649 
104 -61.4391 
105 73.8956 
106 -47.3972 
